AFFYMETRIX_3PRIME_IVT_ID	Gene Name	Species	BBID	GOTERM_CC_FAT	BIOCARTA	GOTERM_MF_FAT	SMART	COG_ONTOLOGY	SP_PIR_KEYWORDS	KEGG_PATHWAY	INTERPRO	UP_SEQ_FEATURE	OMIM_DISEASE	GOTERM_BP_FAT	PIR_SUPERFAMILY
38926_at	integrin, beta 5	Homo sapiens		GO:0005886~plasma membrane,GO:0005887~integral to plasma membrane,GO:0008305~integrin complex,GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,GO:0031226~intrinsic to plasma membrane,GO:0043235~receptor complex,GO:0044459~plasma membrane part,			SM00181:EGF,SM00187:INB,SM00327:VWA,SM00423:PSI,		cell adhesion,complete proteome,cytoskeleton,disulfide bond,duplication,extracellular matrix,glycoprotein,heterodimer,integrin,membrane,polymorphism,receptor,repeat,signal,transmembrane,transmembrane protein,	hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa04810:Regulation of actin cytoskeleton,hsa05410:Hypertrophic cardiomyopathy (HCM),hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC),hsa05414:Dilated cardiomyopathy,	IPR001169:Integrin beta subunit, C-terminal,IPR002035:von Willebrand factor, type A,IPR002369:Integrin beta subunit, N-terminal,IPR003659:Plexin/semaphorin/integrin,IPR006210:EGF-like,IPR012012:Integrin beta subunit, subgroup,IPR012896:Integrin beta subunit, tail,IPR013032:EGF-like region, conserved site,IPR013111:EGF, extracellular,IPR014836:Integrin beta subunit, cytoplasmic,IPR015435:Integrin beta-3 subunit, C-terminal,IPR015812:Integrin beta subunit,	chain:Integrin beta-5,disulfide bond,domain:PSI,domain:VWFA,glycosylation site:N-linked (GlcNAc...),region of interest:Cysteine-rich tandem repeats,repeat:I,repeat:II,repeat:III,repeat:IV,sequence conflict,sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,		GO:0007155~cell adhesion,GO:0007160~cell-matrix adhesion,GO:0007166~cell surface receptor linked signal transduction,GO:0007229~integrin-mediated signaling pathway,GO:0022610~biological adhesion,GO:0031589~cell-substrate adhesion,	PIRSF002512:integrin, beta subunit,PIRSF002512:Integrin_B,
38674_at	kelch-like 9 (Drosophila)	Homo sapiens					SM00225:BTB,SM00612:Kelch,		complete proteome,kelch repeat,phosphoprotein,repeat,ubl conjugation pathway,	hsa04120:Ubiquitin mediated proteolysis,	IPR000210:BTB/POZ-like,IPR006652:Kelch repeat type 1,IPR011333:BTB/POZ fold,IPR011705:BTB/Kelch-associated,IPR013069:BTB/POZ,IPR013089:Kelch related,IPR015915:Kelch-type beta propeller,IPR017096:Kelch-like protein, gigaxonin,	chain:Kelch-like protein 9,domain:BACK,domain:BTB,modified residue,repeat:Kelch 1,repeat:Kelch 2,repeat:Kelch 3,repeat:Kelch 4,repeat:Kelch 5,repeat:Kelch 6,		GO:0006508~proteolysis,GO:0009057~macromolecule catabolic process,GO:0019941~modification-dependent protein catabolic process,GO:0030163~protein catabolic process,GO:0043632~modification-dependent macromolecule catabolic process,GO:0044257~cellular protein catabolic process,GO:0044265~cellular macromolecule catabolic process,GO:0051603~proteolysis involved in cellular protein catabolic process,	PIRSF037037:kelch-like protein, gigaxonin type,PIRSF037037:Kelch-like_protein_gigaxonin,
34012_at	keratin 34	Homo sapiens		GO:0005856~cytoskeleton,GO:0005882~intermediate filament,GO:0043228~non-membrane-bounded organelle,GO:0043232~intracellular non-membrane-bounded organelle,GO:0044430~cytoskeletal part,GO:0045111~intermediate filament cytoskeleton,		GO:0005198~structural molecule activity,			coiled coil,complete proteome,Intermediate filament,keratin,polymorphism,		IPR001664:Intermediate filament protein,IPR002957:Keratin, type I,IPR016044:Filament,IPR018039:Intermediate filament protein, conserved site,	chain:Keratin, type I cuticular Ha4,region of interest:Coil 1A,region of interest:Coil 1B,region of interest:Coil 2,region of interest:Head,region of interest:Linker 1,region of interest:Linker 12,region of interest:Rod,region of interest:Tail,sequence conflict,sequence variant,site:Stutter,		GO:0007398~ectoderm development,GO:0008544~epidermis development,	PIRSF002282:cytoskeletal keratin,
31987_at	kin of IRRE like (Drosophila)	Homo sapiens		GO:0005886~plasma membrane,GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,			SM00408:IGc2,SM00409:IG,		alternative splicing,cell membrane,complete proteome,disulfide bond,glycoprotein,Immunoglobulin domain,membrane,phosphoprotein,polymorphism,repeat,signal,transmembrane,		IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like,IPR013098:Immunoglobulin I-set,IPR013106:Immunoglobulin V-set,IPR013151:Immunoglobulin,IPR013162:CD80-like, immunoglobulin C2-set,IPR013783:Immunoglobulin-like fold,	chain:Kin of IRRE-like protein 1,disulfide bond,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like C2-type 3,domain:Ig-like C2-type 4,domain:Ig-like C2-type 5,glycosylation site:N-linked (GlcNAc...),modified residue,sequence conflict,sequence variant,short sequence motif:Cell attachment site,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,		GO:0007588~excretion,GO:0046903~secretion,	
35367_at	lectin, galactoside-binding, soluble, 3	Homo sapiens		GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005886~plasma membrane,GO:0031012~extracellular matrix,GO:0044421~extracellular region part,		GO:0005529~sugar binding,GO:0019863~IgE binding,GO:0019865~immunoglobulin binding,GO:0030246~carbohydrate binding,GO:0032403~protein complex binding,	SM00276:GLECT,		3d-structure,acetylation,complete proteome,differentiation,disulfide bond,ige-binding protein,Lectin,nucleus,phosphoprotein,polymorphism,repeat,		IPR001079:Galectin, carbohydrate recognition domain,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR015534:Galectin-3,	chain:Galectin-3,disulfide bond,domain:Galectin,helix,modified residue,region of interest:8 X 9 AA tandem repeats of Y-P-G-X(3)-P- G-A,region of interest:Beta-galactoside binding,repeat:1,repeat:2,repeat:3,repeat:4; approximate,repeat:5,repeat:6; approximate,repeat:7; approximate,repeat:8; approximate,sequence conflict,sequence variant,strand,		GO:0001501~skeletal system development,GO:0030198~extracellular matrix organization,GO:0043062~extracellular structure organization,	PIRSF037626:galectin 3,
36436_at	leukocyte cell-derived chemotaxin 2	Homo sapiens		GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0044421~extracellular region part,					chemotaxis,complete proteome,cytoplasm,polymorphism,Secreted,signal,		IPR008663:Leukocyte cell-derived chemotaxin 2,IPR016047:Peptidase M23,IPR017381:Leukocyte cell-derived chemotaxin 2, chordata,	chain:Leukocyte cell-derived chemotaxin-2,sequence variant,signal peptide,		GO:0001501~skeletal system development,GO:0006935~chemotaxis,GO:0007610~behavior,GO:0007626~locomotory behavior,GO:0009968~negative regulation of signal transduction,GO:0010648~negative regulation of cell communication,GO:0030111~regulation of Wnt receptor signaling pathway,GO:0030178~negative regulation of Wnt receptor signaling pathway,GO:0042330~taxis,	PIRSF038085:LECT3,
32073_at	lysine (K)-specific demethylase 4A	Homo sapiens		GO:0005730~nucleolus,GO:0031974~membrane-enclosed lumen,GO:0031981~nuclear lumen,GO:0043228~non-membrane-bounded organelle,GO:0043232~intracellular non-membrane-bounded organelle,GO:0043233~organelle lumen,GO:0070013~intracellular organelle lumen,		GO:0005506~iron ion binding,GO:0008270~zinc ion binding,GO:0016564~transcription repressor activity,GO:0016701~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen,GO:0016702~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,GO:0016706~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors,GO:0030528~transcription regulator activity,GO:0032451~demethylase activity,GO:0032452~histone demethylase activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0051864~histone demethylase activity (H3-K36 specific),	SM00249:PHD,SM00333:TUDOR,SM00545:JmjN,SM00558:JmjC,	General function prediction only,	3d-structure,chromatin regulator,complete proteome,dioxygenase,host-virus interaction,iron,metal-binding,nucleus,oxidoreductase,phosphoprotein,polymorphism,repeat,Transcription,transcription regulation,zinc,zinc-finger,		IPR001965:Zinc finger, PHD-type,IPR002999:Tudor domain,IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR003349:Transcription factor jumonji, JmjN,IPR013129:Transcription factor jumonji,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,	binding site:Alpha-ketoglutarate,binding site:Histone H3-K4Me3,chain:Lysine-specific demethylase 4A,domain:JmjC,domain:JmjN,domain:Tudor 1,domain:Tudor 2,helix,metal ion-binding site:Iron; catalytic,metal ion-binding site:Zinc,modified residue,mutagenesis site,region of interest:Interaction with NCOR1,sequence variant,strand,turn,zinc finger region:PHD-type 1,zinc finger region:PHD-type 2,		GO:0006325~chromatin organization,GO:0006350~transcription,GO:0006482~protein amino acid demethylation,GO:0006730~one-carbon metabolic process,GO:0008214~protein amino acid dealkylation,GO:0016568~chromatin modification,GO:0016569~covalent chromatin modification,GO:0016570~histone modification,GO:0016577~histone demethylation,GO:0045449~regulation of transcription,GO:0051276~chromosome organization,GO:0055114~oxidation reduction,	
37408_at	mannose receptor, C type 2	Homo sapiens		GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,		GO:0005509~calcium ion binding,GO:0005529~sugar binding,GO:0030246~carbohydrate binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,	SM00034:CLECT,SM00059:FN2,SM00458:RICIN,		calcium,complete proteome,direct protein sequencing,disulfide bond,Endocytosis,glycoprotein,Lectin,membrane,phosphoprotein,polymorphism,receptor,repeat,signal,transmembrane,		IPR000562:Type II fibronectin, collagen-binding,IPR000772:Ricin B lectin,IPR001304:C-type lectin,IPR002353:Type II antifreeze protein,IPR016186:C-type lectin-like,IPR018378:C-type lectin, conserved site,	chain:C-type mannose receptor 2,disulfide bond,domain:C-type lectin 1,domain:C-type lectin 2,domain:C-type lectin 3,domain:C-type lectin 4,domain:C-type lectin 5,domain:C-type lectin 6,domain:C-type lectin 7,domain:C-type lectin 8,domain:Fibronectin type-II,domain:Ricin B-type lectin,glycosylation site:N-linked (GlcNAc...),mutagenesis site,sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,		GO:0006897~endocytosis,GO:0010324~membrane invagination,GO:0016044~membrane organization,GO:0016192~vesicle-mediated transport,	PIRSF002427:mannose receptor,
34577_at	melanoma antigen family A, 9; melanoma antigen family A, 9B	Homo sapiens							complete proteome,tumor antigen,		IPR002190:MAGE protein,	chain:Melanoma-associated antigen 9,compositionally biased region:Poly-Glu,domain:MAGE,sequence conflict,			PIRSF005491:tumor associated protein MAGE,
38945_at	metal-regulatory transcription factor 1	Homo sapiens				GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0003712~transcription cofactor activity,GO:0003713~transcription coactivator activity,GO:0008134~transcription factor binding,GO:0008270~zinc ion binding,GO:0016563~transcription activator activity,GO:0030528~transcription regulator activity,GO:0042156~zinc-mediated transcriptional activator activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,	SM00355:ZnF_C2H2,	General function prediction only,Transcription / Cell division and chromosome partitioning,	activator,complete proteome,dna-binding,metal-binding,nucleus,repeat,Transcription,transcription regulation,zinc,zinc-finger,		IPR007087:Zinc finger, C2H2-type,IPR013087:Zinc finger, C2H2-type/integrase, DNA-binding,IPR015880:Zinc finger, C2H2-like,	chain:Metal regulatory transcription factor 1,compositionally biased region:Pro-rich,sequence conflict,short sequence motif:Nuclear localization signal,zinc finger region:C2H2-type 1,zinc finger region:C2H2-type 2,zinc finger region:C2H2-type 3,zinc finger region:C2H2-type 4,zinc finger region:C2H2-type 5,zinc finger region:C2H2-type 6,		GO:0006350~transcription,GO:0006355~regulation of transcription, DNA-dependent,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006979~response to oxidative stress,GO:0009891~positive regulation of biosynthetic process,GO:0010035~response to inorganic substance,GO:0010038~response to metal ion,GO:0010557~positive regulation of macromolecule biosynthetic process,GO:0010604~positive regulation of macromolecule metabolic process,GO:0010628~positive regulation of gene expression,GO:0031328~positive regulation of cellular biosynthetic process,GO:0045449~regulation of transcription,GO:0045893~positive regulation of transcription, DNA-dependent,GO:0045935~positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process,GO:0045941~positive regulation of transcription,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046686~response to cadmium ion,GO:0051173~positive regulation of nitrogen compound metabolic process,GO:0051252~regulation of RNA metabolic process,GO:0051254~positive regulation of RNA metabolic process,	
31576_at	mevalonate kinase	Homo sapiens		GO:0005777~peroxisome,GO:0042579~microbody,		GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0004496~mevalonate kinase activity,GO:0005524~ATP binding,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0042802~identical protein binding,			3d-structure,ATP,atp-binding,cataract,Cholesterol biosynthesis,complete proteome,cytoplasm,disease mutation,isoprenoid biosynthesis,kinase,lipid synthesis,nucleotide-binding,peroxisome,phosphotransferase,polymorphism,Steroid biosynthesis,sterol biosynthesis,transferase,	hsa00900:Terpenoid backbone biosynthesis,	IPR006203:GHMP kinase, ATP-binding, conserved site,IPR006204:GHMP kinase,IPR006205:Mevalonate kinase,IPR006206:Mevalonate and galactokinase,IPR013750:GHMP kinase, C-terminal,IPR014721:Ribosomal protein S5 domain 2-type fold,	binding site:ATP,chain:Mevalonate kinase,helix,nucleotide phosphate-binding region:ATP,sequence variant,strand,turn,	Common variants at 30 loci contribute to polygenic dyslipidemia,Hyper-IgD syndrome,Mevalonic aciduria,Mevalonicaciduria,Newly identified loci that influence lipid concentrations and risk of coronary artery disease,	GO:0006694~steroid biosynthetic process,GO:0006695~cholesterol biosynthetic process,GO:0006720~isoprenoid metabolic process,GO:0006793~phosphorus metabolic process,GO:0006796~phosphate metabolic process,GO:0008202~steroid metabolic process,GO:0008203~cholesterol metabolic process,GO:0008299~isoprenoid biosynthetic process,GO:0008610~lipid biosynthetic process,GO:0016125~sterol metabolic process,GO:0016126~sterol biosynthetic process,GO:0016310~phosphorylation,	PIRSF000546:mevalonate kinase/phosphomevalonate kinase,PIRSF500058:mevalonate kinase,
